journal	issue	year	print_run	issues_pa	notes
Знамя	1	1958	102000	12	Based on information in one 1958 issue
Знамя	2	1958	102000	12	Based on information in one 1958 issue
Знамя	3	1958	102000	12	Based on information in one 1958 issue
Знамя	4	1958	102000	12	Based on information in one 1958 issue
Знамя	5	1958	102000	12	Based on information in one 1958 issue
Знамя	6	1958	102000	12	Based on information in one 1958 issue
Знамя	7	1958	102000	12	Based on information in one 1958 issue
Знамя	8	1958	102000	12	Based on information in one 1958 issue
Знамя	9	1958	102000	12	Based on information in one 1958 issue
Знамя	10	1958	102000	12	Based on information in one 1958 issue
Знамя	11	1958	102000	12	Based on information in one 1958 issue
Знамя	12	1958	102000	12	Based on information in one 1958 issue
Знамя	1	1959	117000	12	Based on information in one 1959 issue
Знамя	2	1959	117000	12	Based on information in one 1959 issue
Знамя	3	1959	117000	12	Based on information in one 1959 issue
Знамя	4	1959	117000	12	Based on information in one 1959 issue
Знамя	5	1959	117000	12	Based on information in one 1959 issue
Знамя	6	1959	117000	12	Based on information in one 1959 issue
Знамя	7	1959	117000	12	Based on information in one 1959 issue
Знамя	8	1959	117000	12	Based on information in one 1959 issue
Знамя	9	1959	117000	12	Based on information in one 1959 issue
Знамя	10	1959	117000	12	Based on information in one 1959 issue
Знамя	11	1959	117000	12	Based on information in one 1959 issue
Знамя	12	1959	117000	12	Based on information in one 1959 issue
Знамя	1	1960	90800	12	Based on information in one 1960 issue
Знамя	2	1960	90800	12	Based on information in one 1960 issue
Знамя	3	1960	90800	12	Based on information in one 1960 issue
Знамя	4	1960	90800	12	Based on information in one 1960 issue
Знамя	5	1960	90800	12	Based on information in one 1960 issue
Знамя	6	1960	90800	12	Based on information in one 1960 issue
Знамя	7	1960	90800	12	Based on information in one 1960 issue
Знамя	8	1960	90800	12	Based on information in one 1960 issue
Знамя	9	1960	90800	12	Based on information in one 1960 issue
Знамя	10	1960	90800	12	Based on information in one 1960 issue
Знамя	11	1960	90800	12	Based on information in one 1960 issue
Знамя	12	1960	90800	12	Based on information in one 1960 issue
Знамя	1	1961	82000	12	
Знамя	2	1961	82600	12	
Знамя	3	1961	83200	12	
Знамя	4	1961	83500	12	
Знамя	5	1961	83200	12	
Знамя	6	1961	84700	12	
Знамя	7	1961	82000	12	
Знамя	8	1961	82000	12	
Знамя	9	1961	82000	12	
Знамя	10	1961	82850	12	
Знамя	11	1961	83800	12	
Знамя	12	1961	83500	12	
Знамя	1	1962	83200	12	
Знамя	2	1962	84300	12	
Знамя	3	1962	84600	12	
Знамя	4	1962	84600	12	
Знамя	5	1962	86400	12	
Знамя	6	1962	86800	12	
Знамя	7	1962	85900	12	
Знамя	8	1962	87150	12	
Знамя	9	1962	86300	12	
Знамя	10	1962	86500	12	
Знамя	11	1962	87300	12	
Знамя	12	1962	87500	12	
Знамя	1	1963	86600	12	
Знамя	2	1963	88100	12	
Знамя	3	1963	88700	12	
Знамя	4	1963	90900	12	
Знамя	5	1963	93000	12	
Знамя	6	1963	88700	12	
Знамя	7	1963	91800	12	
Знамя	8	1963	97100	12	
Знамя	9	1963	96100	12	
Знамя	10	1963	94500	12	
Знамя	11	1963	94600	12	
Знамя	12	1963	91900	12	
Знамя	1	1964	93200	12	
Знамя	2	1964	94300	12	
Знамя	3	1964	94300	12	
Знамя	4	1964	97200	12	
Знамя	5	1964	98700	12	
Знамя	6	1964	101200	12	
Знамя	7	1964	100100	12	
Знамя	8	1964	102000	12	
Знамя	9	1964	100900	12	
Знамя	10	1964	99000	12	
Знамя	11	1964	94300	12	
Знамя	12	1964	94000	12	
Знамя	1	1965	103100	12	
Знамя	2	1965	104300	12	
Знамя	3	1965	130000	12	
Знамя	4	1965	130000	12	
Знамя	5	1965	130000	12	
Знамя	6	1965	130000	12	
Знамя	7	1965	92000	12	
Знамя	8	1965	130000	12	
Знамя	9	1965	130000	12	
Знамя	10	1965	130000	12	
Знамя	11	1965	130000	12	
Знамя	12	1965	129100	12	
Знамя	1	1966	130000	12	
Знамя	2	1966	140000	12	
Знамя	3	1966	140000	12	
Знамя	4	1966	140000	12	
Знамя	5	1966	140000	12	
Знамя	6	1966	140000	12	
Знамя	7	1966	140000	12	
Знамя	8	1966	140000	12	
Знамя	9	1966	140000	12	
Знамя	10	1966	140000	12	
Знамя	11	1966	140000	12	
Знамя	12	1966	140000	12	
Знамя	1	1967	160000	12	
Знамя	2	1967	160000	12	
Знамя	3	1967	160000	12	
Знамя	4	1967	160000	12	
Знамя	5	1967	160000	12	
Знамя	6	1967	160000	12	
Знамя	7	1967	150000	12	
Знамя	8	1967	150000	12	
Знамя	9	1967	150000	12	
Знамя	10	1967	148700	12	
Знамя	11	1967	147100	12	
Знамя	12	1967	143150	12	
Знамя	1	1968	135150	12	Based on information in one 1968 issue
Знамя	2	1968	135150	12	Based on information in one 1968 issue
Знамя	3	1968	135150	12	Based on information in one 1968 issue
Знамя	4	1968	135150	12	Based on information in one 1968 issue
Знамя	5	1968	135150	12	Based on information in one 1968 issue
Знамя	6	1968	135150	12	Based on information in one 1968 issue
Знамя	7	1968	135150	12	Based on information in one 1968 issue
Знамя	8	1968	135150	12	Based on information in one 1968 issue
Знамя	9	1968	135150	12	Based on information in one 1968 issue
Знамя	10	1968	135150	12	Based on information in one 1968 issue
Знамя	11	1968	135150	12	Based on information in one 1968 issue
Знамя	12	1968	135150	12	Based on information in one 1968 issue
Знамя	1	1969	145700	12	Based on information in one 1969 issue
Знамя	2	1969	145700	12	Based on information in one 1969 issue
Знамя	3	1969	145700	12	Based on information in one 1969 issue
Знамя	4	1969	145700	12	Based on information in one 1969 issue
Знамя	5	1969	145700	12	Based on information in one 1969 issue
Знамя	6	1969	145700	12	Based on information in one 1969 issue
Знамя	7	1969	145700	12	Based on information in one 1969 issue
Знамя	8	1969	145700	12	Based on information in one 1969 issue
Знамя	9	1969	145700	12	Based on information in one 1969 issue
Знамя	10	1969	145700	12	Based on information in one 1969 issue
Знамя	11	1969	145700	12	Based on information in one 1969 issue
Знамя	12	1969	145700	12	Based on information in one 1969 issue
Знамя	1	1970	135000	12	Based on information in one 1970 issue
Знамя	2	1970	135000	12	Based on information in one 1970 issue
Знамя	3	1970	135000	12	Based on information in one 1970 issue
Знамя	4	1970	135000	12	Based on information in one 1970 issue
Знамя	5	1970	135000	12	Based on information in one 1970 issue
Знамя	6	1970	135000	12	Based on information in one 1970 issue
Знамя	7	1970	135000	12	Based on information in one 1970 issue
Знамя	8	1970	135000	12	Based on information in one 1970 issue
Знамя	9	1970	135000	12	Based on information in one 1970 issue
Знамя	10	1970	135000	12	Based on information in one 1970 issue
Знамя	11	1970	135000	12	Based on information in one 1970 issue
Знамя	12	1970	135000	12	Based on information in one 1970 issue
Знамя	1	1971	150000	12	Based on information in one 1971 issue
Знамя	2	1971	150000	12	Based on information in one 1971 issue
Знамя	3	1971	150000	12	Based on information in one 1971 issue
Знамя	4	1971	150000	12	Based on information in one 1971 issue
Знамя	5	1971	150000	12	Based on information in one 1971 issue
Знамя	6	1971	150000	12	Based on information in one 1971 issue
Знамя	7	1971	150000	12	Based on information in one 1971 issue
Знамя	8	1971	150000	12	Based on information in one 1971 issue
Знамя	9	1971	150000	12	Based on information in one 1971 issue
Знамя	10	1971	150000	12	Based on information in one 1971 issue
Знамя	11	1971	150000	12	Based on information in one 1971 issue
Знамя	12	1971	150000	12	Based on information in one 1971 issue
Знамя	1	1972	163000	12	Based on information in one 1972 issue
Знамя	2	1972	163000	12	Based on information in one 1972 issue
Знамя	3	1972	163000	12	Based on information in one 1972 issue
Знамя	4	1972	163000	12	Based on information in one 1972 issue
Знамя	5	1972	163000	12	Based on information in one 1972 issue
Знамя	6	1972	163000	12	Based on information in one 1972 issue
Знамя	7	1972	163000	12	Based on information in one 1972 issue
Знамя	8	1972	163000	12	Based on information in one 1972 issue
Знамя	9	1972	163000	12	Based on information in one 1972 issue
Знамя	10	1972	163000	12	Based on information in one 1972 issue
Знамя	11	1972	163000	12	Based on information in one 1972 issue
Знамя	12	1972	163000	12	Based on information in one 1972 issue
Молодая гвардия	1	1958	65000	12	Based on information in one 1958 issue
Молодая гвардия	2	1958	65000	12	Based on information in one 1958 issue
Молодая гвардия	3	1958	65000	12	Based on information in one 1958 issue
Молодая гвардия	4	1958	65000	12	Based on information in one 1958 issue
Молодая гвардия	5	1958	65000	12	Based on information in one 1958 issue
Молодая гвардия	6	1958	65000	12	Based on information in one 1958 issue
Молодая гвардия	7	1958	65000	12	Based on information in one 1958 issue
Молодая гвардия	8	1958	65000	12	Based on information in one 1958 issue
Молодая гвардия	9	1958	65000	12	Based on information in one 1958 issue
Молодая гвардия	10	1958	65000	12	Based on information in one 1958 issue
Молодая гвардия	11	1958	65000	12	Based on information in one 1958 issue
Молодая гвардия	12	1958	65000	12	Based on information in one 1958 issue
Молодая гвардия	1	1959	60200	12	Based on information in one 1959 issue
Молодая гвардия	2	1959	60200	12	Based on information in one 1959 issue
Молодая гвардия	3	1959	60200	12	Based on information in one 1959 issue
Молодая гвардия	4	1959	60200	12	Based on information in one 1959 issue
Молодая гвардия	5	1959	60200	12	Based on information in one 1959 issue
Молодая гвардия	6	1959	60200	12	Based on information in one 1959 issue
Молодая гвардия	7	1959	60200	12	Based on information in one 1959 issue
Молодая гвардия	8	1959	60200	12	Based on information in one 1959 issue
Молодая гвардия	9	1959	60200	12	Based on information in one 1959 issue
Молодая гвардия	10	1959	60200	12	Based on information in one 1959 issue
Молодая гвардия	11	1959	60200	12	Based on information in one 1959 issue
Молодая гвардия	12	1959	60200	12	Based on information in one 1959 issue
Молодая гвардия	1	1960	57400	12	Based on information in one 1960 issue
Молодая гвардия	2	1960	57400	12	Based on information in one 1960 issue
Молодая гвардия	3	1960	57400	12	Based on information in one 1960 issue
Молодая гвардия	4	1960	57400	12	Based on information in one 1960 issue
Молодая гвардия	5	1960	57400	12	Based on information in one 1960 issue
Молодая гвардия	6	1960	57400	12	Based on information in one 1960 issue
Молодая гвардия	7	1960	57400	12	Based on information in one 1960 issue
Молодая гвардия	8	1960	57400	12	Based on information in one 1960 issue
Молодая гвардия	9	1960	57400	12	Based on information in one 1960 issue
Молодая гвардия	10	1960	57400	12	Based on information in one 1960 issue
Молодая гвардия	11	1960	57400	12	Based on information in one 1960 issue
Молодая гвардия	12	1960	57400	12	Based on information in one 1960 issue
Молодая гвардия	1	1961	64800	12	Based on information in one 1961 issue
Молодая гвардия	2	1961	64800	12	Based on information in one 1961 issue
Молодая гвардия	3	1961	64800	12	Based on information in one 1961 issue
Молодая гвардия	4	1961	64800	12	Based on information in one 1961 issue
Молодая гвардия	5	1961	64800	12	Based on information in one 1961 issue
Молодая гвардия	6	1961	64800	12	Based on information in one 1961 issue
Молодая гвардия	7	1961	64800	12	Based on information in one 1961 issue
Молодая гвардия	8	1961	64800	12	Based on information in one 1961 issue
Молодая гвардия	9	1961	64800	12	Based on information in one 1961 issue
Молодая гвардия	10	1961	64800	12	Based on information in one 1961 issue
Молодая гвардия	11	1961	64800	12	Based on information in one 1961 issue
Молодая гвардия	12	1961	64800	12	Based on information in one 1961 issue
Молодая гвардия	1	1962	95000	12	Based on information in one 1962 issue
Молодая гвардия	2	1962	95000	12	Based on information in one 1962 issue
Молодая гвардия	3	1962	95000	12	Based on information in one 1962 issue
Молодая гвардия	4	1962	95000	12	Based on information in one 1962 issue
Молодая гвардия	5	1962	95000	12	Based on information in one 1962 issue
Молодая гвардия	6	1962	95000	12	Based on information in one 1962 issue
Молодая гвардия	7	1962	95000	12	Based on information in one 1962 issue
Молодая гвардия	8	1962	95000	12	Based on information in one 1962 issue
Молодая гвардия	9	1962	95000	12	Based on information in one 1962 issue
Молодая гвардия	10	1962	95000	12	Based on information in one 1962 issue
Молодая гвардия	11	1962	95000	12	Based on information in one 1962 issue
Молодая гвардия	12	1962	95000	12	Based on information in one 1962 issue
Молодая гвардия	1	1963	110000	12	Based on information in one 1963 issue
Молодая гвардия	2	1963	110000	12	Based on information in one 1963 issue
Молодая гвардия	3	1963	110000	12	Based on information in one 1963 issue
Молодая гвардия	4	1963	110000	12	
Молодая гвардия	5	1963	112000	12	
Молодая гвардия	6	1963	115000	12	
Молодая гвардия	7	1963	116000	12	
Молодая гвардия	8	1963	116800	12	
Молодая гвардия	9	1963	125000	12	
Молодая гвардия	10	1963	129500	12	
Молодая гвардия	11	1963	124000	12	
Молодая гвардия	12	1963	124000	12	
Молодая гвардия	1	1964	140000	12	
Молодая гвардия	2	1964	142500	12	
Молодая гвардия	3	1964	137500	12	
Молодая гвардия	4	1964	152000	12	
Молодая гвардия	5	1964	152500	12	
Молодая гвардия	6	1964	151000	12	
Молодая гвардия	7	1964	152300	12	
Молодая гвардия	8	1964	153600	12	
Молодая гвардия	9	1964	156300	12	
Молодая гвардия	10	1964	156400	12	
Молодая гвардия	11	1964	156400	12	Print run based on preceding issue
Молодая гвардия	12	1964	161700	12	
Молодая гвардия	1	1965	170000	12	
Молодая гвардия	2	1965	170000	12	
Молодая гвардия	3	1965	170000	12	
Молодая гвардия	4	1965	170000	12	
Молодая гвардия	5	1965	170000	12	
Молодая гвардия	6	1965	170000	12	
Молодая гвардия	7	1965	170000	12	
Молодая гвардия	8	1965	170000	12	
Молодая гвардия	9	1965	170000	12	
Молодая гвардия	10	1965	170000	12	
Молодая гвардия	11	1965	170000	12	
Молодая гвардия	12	1965	170000	12	
Молодая гвардия	1	1966	200000	12	Based on information in one 1966 issue
Молодая гвардия	2	1966	200000	12	Based on information in one 1966 issue
Молодая гвардия	3	1966	200000	12	Based on information in one 1966 issue
Молодая гвардия	4	1966	200000	12	Based on information in one 1966 issue
Молодая гвардия	5	1966	200000	12	Based on information in one 1966 issue
Молодая гвардия	6	1966	200000	12	Based on information in one 1966 issue
Молодая гвардия	7	1966	200000	12	Based on information in one 1966 issue
Молодая гвардия	8	1966	200000	12	Based on information in one 1966 issue
Молодая гвардия	9	1966	200000	12	Based on information in one 1966 issue
Молодая гвардия	10	1966	200000	12	Based on information in one 1966 issue
Молодая гвардия	11	1966	200000	12	Based on information in one 1966 issue
Молодая гвардия	12	1966	200000	12	Based on information in one 1966 issue
Молодая гвардия	1	1967	220000	12	
Молодая гвардия	2	1967	220000	12	
Молодая гвардия	3	1967	220000	12	
Молодая гвардия	4	1967	220000	12	
Молодая гвардия	5	1967	220000	12	
Молодая гвардия	6	1967	220000	12	
Молодая гвардия	7	1967	220000	12	
Молодая гвардия	8	1967	220000	12	
Молодая гвардия	9	1967	220000	12	
Молодая гвардия	10	1967	220000	12	
Молодая гвардия	11	1967	220000	12	
Молодая гвардия	12	1967	220000	12	
Молодая гвардия	1	1968	220000	12	
Молодая гвардия	2	1968	220000	12	
Молодая гвардия	3	1968	220000	12	
Молодая гвардия	4	1968	220000	12	
Молодая гвардия	5	1968	220000	12	
Молодая гвардия	6	1968	220000	12	
Молодая гвардия	7	1968	220000	12	
Молодая гвардия	8	1968	220000	12	
Молодая гвардия	9	1968	220000	12	
Молодая гвардия	10	1968	220000	12	
Молодая гвардия	11	1968	220000	12	
Молодая гвардия	12	1968	220000	12	
Молодая гвардия	1	1969	230000	12	
Молодая гвардия	2	1969	230000	12	
Молодая гвардия	3	1969	230000	12	
Молодая гвардия	4	1969	250000	12	
Молодая гвардия	5	1969	250000	12	
Молодая гвардия	6	1969	250000	12	Print run based on preceding issue
Молодая гвардия	7	1969	300000	12	
Молодая гвардия	8	1969	300000	12	
Молодая гвардия	9	1969	300000	12	
Молодая гвардия	10	1969	300000	12	
Молодая гвардия	11	1969	300000	12	
Молодая гвардия	12	1969	300000	12	
Молодая гвардия	1	1970	250000	12	
Молодая гвардия	2	1970	259000	12	
Молодая гвардия	3	1970	270000	12	
Молодая гвардия	4	1970	300000	12	
Молодая гвардия	5	1970	300000	12	
Молодая гвардия	6	1970	300000	12	
Молодая гвардия	7	1970	300000	12	
Молодая гвардия	8	1970	300000	12	
Молодая гвардия	9	1970	250000	12	
Молодая гвардия	10	1970	250000	12	
Молодая гвардия	11	1970	250000	12	
Молодая гвардия	12	1970	250000	12	
Молодая гвардия	1	1971	315000	12	
Молодая гвардия	2	1971	315000	12	
Молодая гвардия	3	1971	345000	12	
Молодая гвардия	4	1971	325000	12	
Молодая гвардия	5	1971	325000	12	
Молодая гвардия	6	1971	325000	12	
Молодая гвардия	7	1971	325000	12	
Молодая гвардия	8	1971	325000	12	
Молодая гвардия	9	1971	325000	12	
Молодая гвардия	10	1971	325000	12	
Молодая гвардия	11	1971	325000	12	
Молодая гвардия	12	1971	325000	12	
Молодая гвардия	1	1972	367000	12	Based on information in one 1972 issue
Молодая гвардия	2	1972	367000	12	Based on information in one 1972 issue
Молодая гвардия	3	1972	367000	12	Based on information in one 1972 issue
Молодая гвардия	4	1972	367000	12	Based on information in one 1972 issue
Молодая гвардия	5	1972	367000	12	Based on information in one 1972 issue
Молодая гвардия	6	1972	367000	12	Based on information in one 1972 issue
Молодая гвардия	7	1972	367000	12	Based on information in one 1972 issue
Молодая гвардия	8	1972	367000	12	Based on information in one 1972 issue
Молодая гвардия	9	1972	367000	12	Based on information in one 1972 issue
Молодая гвардия	10	1972	367000	12	Based on information in one 1972 issue
Молодая гвардия	11	1972	367000	12	Based on information in one 1972 issue
Молодая гвардия	12	1972	367000	12	Based on information in one 1972 issue
Наш современник	1	1958	50000	6	
Наш современник	2	1958	50000	6	Based on information in one 1958 issue
Наш современник	3	1958	50000	6	Based on information in one 1958 issue
Наш современник	4	1958	50000	6	Based on information in one 1958 issue
Наш современник	5	1958	50000	6	Based on information in one 1958 issue
Наш современник	6	1958	50000	6	Based on information in one 1958 issue
Наш современник	1	1959	45000	6	
Наш современник	2	1959	45000	6	Based on information in one 1959 issue
Наш современник	3	1959	45000	6	Based on information in one 1959 issue
Наш современник	4	1959	45000	6	Based on information in one 1959 issue
Наш современник	5	1959	45000	6	Based on information in one 1959 issue
Наш современник	6	1959	40000	6	
Наш современник	1	1960	40000	6	Based on preceding issue
Наш современник	2	1960	35000	6	
Наш современник	3	1960	35000	6	
Наш современник	4	1960	38000	6	
Наш современник	5	1960	38000	6	Based on preceding issue
Наш современник	6	1960	38000	6	Based on preceding issue
Наш современник	1	1961	21000	6	
Наш современник	2	1961	21000	6	
Наш современник	3	1961	18550	6	
Наш современник	4	1961	19120	6	
Наш современник	5	1961	17980	6	
Наш современник	6	1961	17980	6	Based on preceding issue
Наш современник	1	1962	21000	6	
Наш современник	2	1962	21000	6	
Наш современник	3	1962	21450	6	
Наш современник	4	1962	22000	6	
Наш современник	5	1962	21800	6	
Наш современник	6	1962	21980	6	
Наш современник	1	1963	21590	6	
Наш современник	2	1963	21370	6	
Наш современник	3	1963	23000	6	
Наш современник	4	1963	21900	6	
Наш современник	5	1963	20413	6	
Наш современник	6	1963	19500	6	
Наш современник	1	1964	32000	12	
Наш современник	2	1964	30000	12	
Наш современник	3	1964	34000	12	
Наш современник	4	1964	40000	12	
Наш современник	5	1964	45000	12	
Наш современник	6	1964	45000	12	
Наш современник	7	1964	45000	12	
Наш современник	8	1964	45000	12	
Наш современник	9	1964	45000	12	
Наш современник	10	1964	40000	12	
Наш современник	11	1964	43000	12	
Наш современник	12	1964	43000	12	
Наш современник	1	1965	46000	12	
Наш современник	2	1965	46000	12	
Наш современник	3	1965	46000	12	
Наш современник	4	1965	54000	12	
Наш современник	5	1965	62000	12	
Наш современник	6	1965	62200	12	
Наш современник	7	1965	55000	12	
Наш современник	8	1965	55000	12	Based on preceding issue
Наш современник	9	1965	65800	12	
Наш современник	10	1965	55000	12	
Наш современник	11	1965	55000	12	Based on preceding issue
Наш современник	12	1965	55000	12	Based on preceding issue
Наш современник	1	1966	70000	12	
Наш современник	2	1966	75000	12	
Наш современник	3	1966	75000	12	
Наш современник	4	1966	75000	12	
Наш современник	5	1966	65000	12	
Наш современник	6	1966	65000	12	
Наш современник	7	1966	65800	12	
Наш современник	8	1966	75000	12	
Наш современник	9	1966	65000	12	
Наш современник	10	1966	75000	12	
Наш современник	11	1966	65000	12	
Наш современник	12	1966	75000	12	
Наш современник	1	1967	80000	12	
Наш современник	2	1967	80000	12	
Наш современник	3	1967	80000	12	
Наш современник	4	1967	62000	12	
Наш современник	5	1967	80000	12	
Наш современник	6	1967	80000	12	
